BOR;AN;FI;GRP;FI_EJ;REG;DEP;STJ;STJR;CAT;CATR;ESPIC;MFT;CCR;VAGUE;NAT;SIR;RS;COMPRS;NUMVOI;TYPVOI;ADRVOIENOM;COMPDist;ADRBP;ADRCPOST;ADRLIBCOM;COMINSEE;NUMTEL;ARMT
IDB;2019;010780120;02;;84;01;13;1;106;;1;0;;1;1;;CENTRE HOSPITALIER DE MEXIMIEUX;;;;DOCTEUR BOYER;;;01800;MEXIMIEUX;01244;0474610177;
IDB;2019;010780138;02;;84;01;13;1;106;;1;0;;1;1;;CENTRE HOSPITALIER DE PONT DE VAUX;;;;DES NIVRES;;BP 55;01190;PONT DE VAUX;01305;0385308000;
IDB;2019;010780823;34;010780054;84;01;13;1;362;PUB9;1;0;;0;0;26010004500020;USLD HOTEL DIEU;;47;BD;DE BROU;;;01000;BOURG EN BRESSE;01053;;
IDB;2019;010786705;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456200744;CMP IJ ST MAURICE DE BEYNOST;;2;R;HONORÉ DE BALZAC;;;01700;ST MAURICE DE BEYNOST;01376;;
IDB;2019;010786713;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456200710;CMP PSY.GEN. BELLEY;;;;ILOT BAUDIN;DANS LE CENTRE MEDICO-SOCIAL;;01300;BELLEY;01034;;
IDB;2019;010786721;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456200694;CMP ENFANTS;;60;R;A. BRIAND;;;01500;AMBERIEU EN BUGEY;01004;;
IDB;2019;010786754;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456200702;CMP ADULTES BELLEGARDE-SUR VALSERINE;;6;R;JEAN MALET;;;01200;BELLEGARDE SUR VALSERINE;01033;;
IDB;2019;010787869;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456200314;CMP ENFANTS;;2;AV;SAINT-ÉXUPÉRY;;;01200;BELLEGARDE SUR VALSERINE;01033;;
IDB;2019;010787885;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456200942;CMP ESPACE VILLARD BOURG;;6B;R;G VICAIRE;;;01000;BOURG EN BRESSE;01053;;
IDB;2019;010787893;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456200348;CMP ADULTES VIRIAT;;;;;DANS LE C.H.G. FLEYRIAT;;01440;VIRIAT;01451;;
IDB;2019;010787927;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456201080;CMP PSY FERNEY-VOLTAIRE;;13;CHE;DU LEVANT;;;01210;FERNEY VOLTAIRE;01160;;
IDB;2019;010787968;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456200397;CMP ENFANTS TREVOUX;;;ALL;DE L'ESME;;;01600;TREVOUX;01427;;
IDB;2019;010788008;34;010009132;84;01;14;1;362;PUB9;1;0;;0;0;20003004700035;USLD CH PONT DE VEYLE;;;R;PIERRE GOUJON;;BP 68;01290;PONT DE VEYLE;01306;;
IDB;2019;010788248;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456200405;CMP INFANTO-JUVENILE BELLEY;;;;;ILOT BAUDIN;;01300;BELLEY;01034;;
IDB;2019;010788347;35;010783009;84;01;61;3;425;PNL7;6;1;;0;0;77554456200389;CATTP ENFANTS LE SESAME;LE SESAME;11;R;DE GENEVE;;;01210;FERNEY VOLTAIRE;01160;;
IDB;2019;010788677;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456200421;CMP PSY GEN OYONNAX;;15;R;J BAPTISTE CLEMENT;;;01100;OYONNAX;01283;;
IDB;2019;010788792;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456200728;CMP PSY GEN MONTREVEL-EN-BRESSE;;;PL;DE LA RESISTANCE;;;01340;MONTREVEL EN BRESSE;01266;;
IDB;2019;010789022;34;010780112;84;01;13;1;362;PUB9;1;0;;0;0;26010010200037;USLD CH DU PAYS DE GEX;;160;R;MARC PANISSOD;;BP 437;01174;GEX CEDEX;01173;;
IDB;2019;010789311;35;010783009;84;01;61;3;425;PNL7;6;1;;0;0;77554456200454;CATTP ADULTES KAIROS;;1;R;DU 23ÈME RI;;;01000;BOURG EN BRESSE;01053;;
IDB;2019;010789451;35;010783009;84;01;61;3;425;PNL7;6;1;;0;0;77554456200462;CATTP ADULTES OYONNAX;;15;R;J B CLEMENT;;;01100;OYONNAX;01283;;
IDB;2019;010789634;35;010783009;84;01;61;3;425;PNL7;6;1;;0;0;77554456200470;CATTP ADULTES;;330;AV;CHARLES DE GAULLE;;;01400;CHATILLON SUR CHALARONNE;01093;;
IDB;2019;010789642;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456200488;CMP PSYCHIATRIQUE CHATILLON;;289;AV;DUBANCHET;;;01400;CHATILLON SUR CHALARONNE;01093;;
IDB;2019;010789675;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456201049;CMP PSY GEN AMBERIEU-EN-BUGEY;;31;R;DES PLATTES;;;01500;AMBERIEU EN BUGEY;01004;;
IDB;2019;010789691;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456201056;CMP ESPACE CÔTIERE MONTLUEL;ESPACE COTIERE;284;AV;DE LA GARE;;;01120;MONTLUEL;01262;;
IDB;2019;010789709;35;010783009;84;01;61;3;425;PNL7;6;1;;0;0;77554456200793;CATTP CÔTIERE MONTLUEL;ESPACE COTIERE;284;AV;DE LA GARE;;;01120;MONTLUEL;01262;;
IDB;2019;010789725;35;010783009;84;01;61;3;156;PNL7;6;1;;0;0;77554456200520;CMP ENFANTS;;10B;AV;G. CLEMENCEAU;10 BIS AV. G. CLEMENCEAU;;01100;OYONNAX;01283;;
IDB;2019;010789733;35;010783009;84;01;61;3;425;PNL7;6;1;;0;0;77554456200538;CATTP ENFANTS;;10B;AV;G. CLEMENCEAU;10 BIS AV G. CLEMENCEAU;;01100;OYONNAX;01283;;
IDB;2019;020000022;02;;32;02;13;1;355;;1;0;;1;1;;CENTRE HOSPITALIER DE GUISE;;;;DES DOCTEURS DEVILLERS;;;02120;GUISE;02361;0323515555;
IDB;2019;020000048;02;;32;02;13;1;355;;1;0;;1;1;;CENTRE HOSPITALIER GERONTOLOGIQUE;;;;DUPUIS;;;02800;LA FERE;02304;0323566700;
IDB;2019;020000055;02;;32;02;13;1;355;;1;0;;1;1;;CH NOUVION EN THIERACHE;;;;ANDRE RIDDERS;;BP 16;02170;LE NOUVION EN THIERACHE;02558;0323975656;
IDB;2019;020000063;02;;32;02;13;1;355;;1;0;;1;1;;CENTRE HOSPITALIER DE SAINT QUENTIN;;;;MICHEL DE L'HOSPITAL;;BP 608;02321;ST QUENTIN CEDEX;02691;0323067171;
IDB;2019;020000071;02;;32;02;13;1;355;;1;0;;1;1;;CENTRE HOSPITALIER DE VERVINS;;;;DE LA LIBERTE;;;02140;VERVINS;02789;0323916060;
IDB;2019;020000154;24;020000295;32;02;11;1;292;PUB3;1;0;;0;0;26020034000180;HJ EPSMD SAINT-QUENTIN;ENFANTS ET ADOLESCENTS;222;R;DU DOCTEUR CORDIER;;;02100;ST QUENTIN;02691;;
IDB;2019;020000253;02;;32;02;13;1;355;;1;0;;1;1;;CH DE LAON;;;;MARCELIN BERTHELOT;;;02001;LAON CEDEX;02408;0323243333;
IDB;2019;020000261;02;;32;02;13;1;355;;1;0;;1;1;;CENTRE HOSPITALIER DE SOISSONS;;;;DU GENERAL DE GAULLE;;;02209;SOISSONS CEDEX;02722;0323757070;
IDB;2019;020000287;02;;32;02;13;1;355;;1;0;;1;1;;CENTRE HOSPITALIER DE CHAUNY;;;;DES ANCIENS COMBATTANTS;;;02303;CHAUNY CEDEX;02173;0323385500;
IDB;2019;020000295;02;;32;02;11;1;292;;1;0;;1;1;;ETS PUB SANTÉ MENTALE DÉP DE L'AISNE;;;;;;;02320;PREMONTRE;02619;0323236666;
IDB;2019;020002051;24;020000295;32;02;11;1;292;PUB3;1;0;;0;0;26020034000024;FOYER THÉRAPEUTIQUE EPSM AISNE;;28;AV;DE COMPIÈGNE;;;02200;SOISSONS;02722;;
IDB;2019;020002085;02;;32;02;13;1;106;;1;0;;1;1;;MAISON DE SANTÉ DE BOHAIN;LE CHAMP DE LA ROSE;;;OLIVIER DEGUISE;;;02110;BOHAIN EN VERMANDOIS;02095;0323075300;
IDB;2019;020002739;24;020000295;32;02;11;1;292;PUB3;1;0;;0;0;26020034000479;LITS DE PROXIMITÉ EPSMD AISNE;SECTEUR D;26;R;D'OULCHY LE CHÂTEAU;;;02200;BELLEU;02064;;
IDB;2019;020002788;24;020000295;32;02;11;1;292;PUB3;1;0;;0;0;26020034000487;CENTRE PSYCHOTHÉRAPIQUE EPSMD AISNE;;1;R;VICTOR ET LOUISE MONTFORT;;;02310;VILLIERS ST DENIS;02818;;
IDB;2019;020003620;02;;32;02;12;1;355;;1;0;;1;1;;CRF JACQUES FICHEUX;;;;DE SAINT NICOLAS;;;02410;ST GOBAIN;02680;0323387800;
IDB;2019;020003893;24;020000295;32;02;11;1;425;PUB7;1;0;;0;0;26020034000081;CATTP EPSMD BELLEU;DAUMÉZON;22;R;D'OULCHY LE CHÂTEAU;;;02200;BELLEU;02064;;
IDB;2019;020003919;24;020000295;32;02;11;1;292;PUB3;1;0;;0;0;26020034000172;HJ EPSMD ÉTAMPES-SUR-MARNE;;1;AV;ERNEST COUVRECELLE;;;02400;ETAMPES SUR MARNE;02292;;
IDB;2019;020004404;02;;32;02;13;1;355;;1;0;;1;1;;CENTRE HOSPITALIER DE CHÂTEAU-THIERRY;;;;DE VERDILLY;;BP 179;02405;CHATEAU THIERRY CEDEX;02168;0323696600;
IDB;2019;020004495;02;;32;02;13;1;355;;1;0;;1;1;;CENTRE HOSPITALIER D'HIRSON;CHARLES BRISSET;;;AUX LOUPS;BP 80;;02500;HIRSON;02381;0323588282;
IDB;2019;020004529;24;020000295;32;02;11;1;292;PUB3;1;0;;0;0;26020034000065;HJ EPSMD HIRSON;;145;R;DE GUISE;;;02500;HIRSON;02381;;
IDB;2019;020004727;34;020000287;32;02;13;1;362;PUB9;1;0;;0;0;26020864000037;USLD CH CHAUNY;;94;SQ;DES ANCIENS COMBATTANTS;;;02300;CHAUNY;02173;;
IDB;2019;020004990;24;020000295;32;02;11;1;292;PUB3;1;0;;0;0;26020034000149;CENTRE POUR ADOLESCENTS EPSMD AISNE;;3;CHE;DE LA JUSTICE;;;02300;CHAUNY;02173;;
IDB;2019;020005088;24;020000295;32;02;11;1;292;PUB3;1;0;;0;0;26020034000107;HJ EPSMD LAON;;33;R;DU 13 OCTOBRE 1918;;;02000;LAON;02408;;
IDB;2019;020006151;24;020000295;32;02;11;1;292;PUB3;1;0;;0;0;26020034000073;HJ EPSMD LA FÈRE;HÔPITAL DE JOUR ENFANTS;3;AV;DU GÉNÉRAL LECLERC;;;02800;LA FERE;02304;;
IDB;2019;020007183;24;020000295;32;02;11;1;292;PUB3;1;0;;0;0;26020034000164;CENTRE BORROMEE EPSM AISNE;;9;AV;GAMBETTA;;;02000;LAON;02408;;
IDB;2019;020008793;24;020000295;32;02;11;1;292;PUB3;1;0;;0;0;26020034000156;HJ EPSMD TERGNIER;HERMANN SIMON;6;R;HENRI BRISSON;;;02700;TERGNIER;02738;;
IDB;2019;020008868;24;020000295;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;CMP EPSMD HIRSON ENFANT;;128;R;CHARLES DE GAULLE;;;02500;HIRSON;02381;;
IDB;2019;020008876;24;020000295;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;CMP EPSMD SOISSONS ADULTE;;29;BD;JEANNE D'ARC;;;02200;SOISSONS;02722;;
IDB;2019;020008884;24;020000295;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;CMP EPSMD CHÂTEAU-THIERRY ENFANT;;76;GR;GRANDE RUE;;;02400;CHATEAU THIERRY;02168;;
IDB;2019;020008892;24;020000295;32;02;11;1;156;PUB7;1;0;;0;0;26020034000404;CMP EPSMD LAON ADULTE;;22;R;SAINT MARTIN;;;02000;LAON;02408;;
IDB;2019;020008900;24;020000295;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;CMP EPSMD CHAUNY ENFANT;;18;AV;VICTOR HUGO;;;02300;CHAUNY;02173;;
IDB;2019;020008918;24;020000295;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;CMP EPSMD SAINT-QUENTIN LYON;;8;R;DE LYON;;;02100;ST QUENTIN;02691;;
IDB;2019;020008934;24;020000295;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;CMP EPSMD GUISE;;179;R;CHANTRAINE;;;02120;GUISE;02361;;
IDB;2019;020008942;24;020000295;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;CMP EPSMD BOHAIN-EN-VERMANDOIS;;14;R;LÉON ERST;;;02110;BOHAIN EN VERMANDOIS;02095;;
IDB;2019;020008967;24;020000295;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;CMP EPSMD SOISSONS ENFANT;;24;AV;DU GÉNÉRAL DE GAULLE;;;02200;SOISSONS;02722;;
IDB;2019;020008983;24;020000295;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;CMP EPSMD CHAUNY ADULTE;CENTRE JACQUES LACAN;94;SQ;DES ANCIENS COMBATTANTS;;;02300;CHAUNY;02173;;
IDB;2019;020009007;34;020000022;32;02;13;1;362;PUB9;1;0;;0;0;26020865700049;USLD CH GUISE;;858;R;DES DOCTEURS DEVILLERS;;;02120;GUISE;02361;;
IDB;2019;020009494;24;020000295;32;02;11;1;292;PUB3;1;0;;0;0;26020034000198;CENTRE EPSMD02 CHAUNY;JACQUES LACAN;94;SQ;DES ANCIENS COMBATTANTS;CENTRE HOSPITALIER DE CHAUNY;;02303;CHAUNY CEDEX;02173;;
IDB;2019;020009874;34;020000063;32;02;13;1;362;PUB9;1;0;;0;0;26020861600110;USLD CH SAINT-QUENTIN;RÉSIDENCE SAINT-LAURENT;1;R;MICHEL DE L'HOSPITAL;;;02321;ST QUENTIN CEDEX;02691;;
IDB;2019;020012605;24;020000295;32;02;11;1;292;PUB3;1;0;;0;0;26020034000453;UNITE DE PROXIMITÉ CHARLES LASEGUE;EPSMD AISNE;3;R;DEVISME;;;02000;LAON;02408;;
IDB;2019;020012845;24;020000295;32;02;11;1;292;PUB3;1;0;;0;0;26020034000461;HJ EPSMD CROUY;;18;AV;DU GÉNÉRAL PATTON;;;02880;CROUY;02243;;
IDB;2019;020013264;24;020000295;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;CMP EPSMD LAON ENFANT;;10;PL;DU GÉNÉRAL LECLERC;;;02000;LAON;02408;;
IDB;2019;020014098;24;020000295;32;02;11;1;292;PUB3;1;0;;0;0;;CENTRE PSYCHOTHÉRAPIQUE EPSMDA HIRSON;;40;R;AUX LOUPS;;;02500;HIRSON;02381;;
IDB;2019;020014502;24;020000295;32;02;11;1;292;PUB3;1;0;;0;0;26020034000339;URCA EPSMD AISNE;LE CHALLENGE;;;FERME DU LIEU BUIN;;;02320;PREMONTRE;02619;;
IDB;2019;020014510;24;020000295;32;02;11;1;156;PUB7;1;0;;0;0;26020034000347;CMP EPSMD HIRSON ADULTE;;108;AV;DES CHAMPS ÉLYSÉES;;;02500;HIRSON;02381;;
IDB;2019;020014536;24;020000295;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;CMP EPSMD CHÂTEAU-THIERRY ADULTE;;36;AV;DE LA RÉPUBLIQUE;;;02400;CHATEAU THIERRY;02168;;
IDB;2019;020014544;24;020000295;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;CMP EPSMD TERGNIER;;12;R;DE LA LIBÉRATION;;;02700;TERGNIER;02738;;
IDB;2019;020014627;24;020000063;32;02;13;1;425;PUB7;1;0;;0;0;26020861600151;CATTP CH SAINT-QUENTIN VOLTAIRE;;86;R;VOLTAIRE;;;02100;ST QUENTIN;02691;;
IDB;2019;020014635;24;020000063;32;02;13;1;425;PUB7;1;0;;0;0;26020861600169;CATTP CH SAINT-QUENTIN GUISE;;38;R;DU JEU DE PAUME;VILLA DU JEU DE PAUME;;02120;GUISE;02361;;
IDB;2019;020014643;24;020000063;32;02;13;1;156;PUB7;1;0;;0;0;26020861600177;CMP CH SAINT-QUENTIN;;5;R;ARNAUD BISSON;;;02100;ST QUENTIN;02691;;
IDB;2019;020014676;24;020000063;32;02;13;1;156;PUB7;1;0;;0;0;26020861600193;CMP CH SAINT-QUENTIN BOHAIN-EN-VER;MAISON DE CURE ET SANTÉ MÉDICALE;;CHE;DES DAMES;;;02110;BOHAIN EN VERMANDOIS;02095;;
IDB;2019;020015061;24;020000295;32;02;11;1;425;PUB7;1;0;;0;0;26020034000354;CATTP EPSMD CHÂTEAU-THIERRY;;36;AV;DE LA RÉPUBLIQUE;;;02400;CHATEAU THIERRY;02168;;
IDB;2019;020015079;24;020000063;32;02;13;1;425;PUB7;1;0;;0;0;26020861600177;CATTP CH SAINT-QUENTIN BISSON;;5;R;ARNAUD BISSON;;;02100;ST QUENTIN;02691;;
IDB;2019;020015194;24;020000063;32;02;13;1;425;PUB7;1;0;;0;0;26020861600193;CATTP CH SAINT-QUENTIN BOHAIN-EN-VER;MAISON DE CURE ET SANTÉ MÉDICALE;;CHE;DES DAMES;;;02110;BOHAIN EN VERMANDOIS;02095;;
IDB;2019;020015319;24;020000295;32;02;11;1;156;PUB7;1;0;;0;0;26020034000180;CMP EPSMD SAINT-QUENTIN CORDIER;;222;R;DU DOCTEUR CORDIER;;;02100;ST QUENTIN;02691;;
IDB;2019;030001234;34;030780282;84;03;12;1;362;PUB9;1;0;;0;0;26030493600024;CENTRE DE SOINS DE LONGUE DUREE;CH SPÉCIALSÉ INTERDÉPARTEMENTAL;6B;R;DU PAVÉ;;;03360;AINAY LE CHATEAU;03003;;
IDB;2019;030002158;02;;84;03;11;1;355;;1;0;;1;1;;CH DEPARTEMENTAL COEUR DU BOURBONNAIS;;;;;;LES COMBES;03240;TRONGET;03292;0470476060;
IDB;2019;030005821;08;;84;03;88;2;699;;0;0;;1;1;;SCP - CENTRE DE RADIOTHERAPIE -;JOSEPH BELOT;;;AMBROISE CROIZAT;;;03630;DESERTINES;03098;0470083500;
IDB;2019;030007835;24;030780092;84;03;13;1;355;PUB2;1;0;;0;0;;MAISON COMMUNAUTAIRE;;22;R;DELORME;;;03000;MOULINS;03190;;
IDB;2019;030007843;24;030780092;84;03;13;1;355;PUB2;1;0;;0;0;;HOPITAL DE JOUR DENIS PAPIN;;15;R;DENIS PAPIN;;;03000;MOULINS;03190;;
IDB;2019;030007850;24;030780092;84;03;13;1;430;PUB7;1;0;;0;0;26030383900252;CENTRE DE POST-CURE;;41;AV;D'ORVILLIERS;;;03000;MOULINS;03190;0470209573;
IDB;2019;030007868;24;030780092;84;03;13;1;355;PUB2;1;0;;0;0;;HOPITAL DE JOUR CLAUDE BERNARD;;7;R;CLAUDE BERNARD;;;03400;YZEURE;03321;;
IDB;2019;030007876;24;030780092;84;03;13;1;355;PUB2;1;0;;0;0;;HOPITAL DE JOUR ADOLESCENTS VILLA;;18;R;AMPERE;;;03400;YZEURE;03321;;
IDB;2019;030008114;24;030780092;84;03;13;1;156;PUB7;1;0;;0;0;26030383900112;CMP ADULTES MOULINS;;48;R;DES TANNERIES;;;03000;MOULINS;03190;;
IDB;2019;030008122;24;030780092;84;03;13;1;156;PUB7;1;0;;0;0;26030383900120;CMP ADULTES DOMPIERRE SUR BESBRE;;107;R;JEAN DE LINGENDES;;;03290;DOMPIERRE SUR BESBRE;03102;;
IDB;2019;030008130;24;030780092;84;03;13;1;156;PUB7;1;0;;0;0;26030383900138;CMP ADULTES LE DONJON;;7;PARC;LE PLESSIS;;;03130;LE DONJON;03103;;
IDB;2019;030008148;24;030780092;84;03;13;1;156;PUB7;1;0;;0;0;26030383900146;CMP ADULTES BOURBON L'ARCHAMBAULT;;1;BD;MOUILLIERES;;;03160;BOURBON L ARCHAMBAULT;03036;;
IDB;2019;030008155;24;030780092;84;03;13;1;156;PUB7;1;0;;0;0;26030383900153;CMP ADULTES SAINT POURCAIN SUR SIOULE;;32;R;CHAMP FEUILLET;;;03500;ST POURCAIN SUR SIOULE;03254;;
IDB;2019;030008163;24;030780092;84;03;13;1;156;PUB7;1;0;;0;0;26030383900161;CMP ENFANTS YZEURE;;61;R;DE LA REPUBLIQUE;;;03400;YZEURE;03321;;
IDB;2019;030008171;24;030780092;84;03;13;1;156;PUB7;1;0;;0;0;26030383900179;CMP ENFANTS DOMPIERRE SUR BESBRE;;4;RTE;DE VICHY;;;03290;DOMPIERRE SUR BESBRE;03102;;
IDB;2019;030008189;24;030780092;84;03;13;1;156;PUB7;1;0;;0;0;26030383900187;CMP ENFANTS POURCAIN SUR SIOULE;;29;R;PIERRE ET MARIE CURIE;;;03290;ST POURCAIN SUR BESBRE;03253;;
