BOR;AN;FI;FI_EJ;STATUT;HEB_MED;HEB_CHIR;HEB_PERINAT;HEB_PSY;HEB_SSR;HEB_SLD;MED;CHIRAMBU;PSY;RTH;CHIMIO;IRC;IVGAMP;CPP;HAD;SSR;URG;SMURSAMU;BLOC;IMAG;BIO;ANEST;MEDIC;STERIL;DIM;TELEMED;EMSP;DOULEUR;PALIA;MSOCIAL;CARDIO_INT;REA;CHIRCANCER;NEUROCHIR;NEURO_INT;GREFFE;BRULE;CHIRCAR
FILTRE;2019;460780042;460000029;DECLA;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;;;;;;;;
FILTRE;2019;460780042;460000029;INIT;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
FILTRE;2019;460785090;;DECLA;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;;;;;;;;
FILTRE;2019;460785090;;INIT;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
FILTRE;2019;460785595;460780216;DECLA;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
FILTRE;2019;460785595;460780216;INIT;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
FILTRE;2019;460785900;460002207;DECLA;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
FILTRE;2019;460785900;460002207;INIT;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
FILTRE;2019;460786346;310000633;DECLA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;
FILTRE;2019;460786346;310000633;INIT;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
FILTRE;2019;460786353;310000633;DECLA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;
FILTRE;2019;460786353;310000633;INIT;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
FILTRE;2019;460786478;310000633;DECLA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;
FILTRE;2019;460786478;310000633;INIT;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
FILTRE;2019;470000027;470014069;DECLA;1;1;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0
FILTRE;2019;470000027;470014069;INIT;1;1;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;0;1;;;;;;;;;;;;1;0;1;0;0;0;0;0
FILTRE;2019;470000159;470014069;DECLA;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;;;;;;;;
FILTRE;2019;470000159;470014069;INIT;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
FILTRE;2019;470000175;750826604;DECLA;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;;;;;;;;
FILTRE;2019;470000175;750826604;INIT;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
FILTRE;2019;470000308;930019484;DECLA;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;
FILTRE;2019;470000308;930019484;INIT;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;
FILTRE;2019;470000423;470016171;DECLA;1;1;1;0;1;0;1;1;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0
FILTRE;2019;470000423;470016171;INIT;1;1;1;0;1;0;1;1;0;0;1;1;1;0;0;1;1;1;1;;;;;;;;;;;;0;1;1;0;0;0;0;0
FILTRE;2019;470000431;470000324;DECLA;1;0;1;0;1;1;1;0;0;0;1;0;1;0;0;0;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
FILTRE;2019;470000431;470000324;INIT;1;0;1;0;1;1;1;0;0;0;1;0;1;0;0;0;1;1;0;;;;;;;;;;;;0;0;0;0;0;0;0;0
FILTRE;2019;470000480;470001660;DECLA;1;1;1;0;0;0;1;1;0;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;0;0;0
FILTRE;2019;470000480;470001660;INIT;1;1;1;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;1;;;;;;;;;;;;0;0;1;0;0;0;0;0
FILTRE;2019;470000522;470016171;DECLA;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
FILTRE;2019;470000522;470016171;INIT;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;0;0;0;0;0;0;0;0
